interface,concurrency,n_calls,n_success,n_errors,error_rate,rps,rps_method,latency_p50,latency_p90,latency_p95,latency_p99,latency_mean,latency_std,latency_min,latency_max
grpc,1,50,50,0,0.0,1.51,measured,0.661,0.68,0.689,0.723,0.663,0.019,0.63,0.752
grpc,5,50,50,0,0.0,5.49,measured,0.736,1.328,1.346,1.4,0.874,0.252,0.64,1.418
grpc,10,50,50,0,0.0,5.54,measured,1.48,2.084,2.087,2.103,1.646,0.42,0.665,2.104
grpc,20,50,50,0,0.0,5.53,measured,3.47,3.519,3.528,3.54,2.943,0.909,0.724,3.548
