bucket,interface,n_calls,ttfb,rtf,elapsed
extra_long_300_words,rest,50,"{'p50': 0.10566267449939915, 'p90': 0.11563150829824735, 'p95': 0.11632927284990728, 'p99': 0.3076439338019918, 'mean': 0.11305783420000808, 'std': 0.0400940072205461, 'min': 0.09458041399921058, 'max': 0.31784180400063633}","{'p50': 2.2931520025252006, 'p90': 2.5040394793563614, 'p95': 2.5250714584674583, 'p99': 6.637712001749953, 'mean': 2.4529589403691396, 'std': 0.8621886643390028, 'min': 2.0654175568214583, 'max': 6.8448284635250545}","{'p50': 0.10649377100162383, 'p90': 0.11628736629754713, 'p95': 0.11726408949980395, 'p99': 0.30825474330122227, 'mean': 0.113915190700136, 'std': 0.04003996336884984, 'min': 0.09591780399932759, 'max': 0.3178732129999844}"
long_75_words,grpc,50,"{'p50': 0.0745419144986954, 'p90': 0.07582879399742525, 'p95': 0.08266921890153751, 'p99': 0.09358898548864088, 'mean': 0.07512052395984938, 'std': 0.004932722545370605, 'min': 0.0636624219987425, 'max': 0.10077390399965225}","{'p50': 0.0787874424534942, 'p90': 0.08049225899965745, 'p95': 0.08054867780111544, 'p99': 0.0812967668125996, 'mean': 0.07891224942767397, 'std': 0.0013238565199721454, 'min': 0.07548936098887453, 'max': 0.08152054027733688}","{'p50': 1.9837757464993047, 'p90': 2.05749396989886, 'p95': 2.0654791058510455, 'p99': 2.1153453484403144, 'mean': 1.986411792479994, 'std': 0.05648715433287658, 'min': 1.854658620999544, 'max': 2.1154557180016127}"
long_75_words,rest,50,"{'p50': 0.09401992299899575, 'p90': 0.12010652389908501, 'p95': 0.13196379344972226, 'p99': 0.2263657237598087, 'mean': 0.10480787289990985, 'std': 0.03154003064600427, 'min': 0.09180999599993811, 'max': 0.30925269100043806}","{'p50': 0.0807317479668453, 'p90': 0.08222688432863763, 'p95': 0.08237217240983524, 'p99': 0.08628958787214341, 'mean': 0.08057357907711088, 'std': 0.00200370764509788, 'min': 0.07621682230414151, 'max': 0.08974124372781747}","{'p50': 2.0258542920018954, 'p90': 2.0749753530992168, 'p95': 2.10448991929934, 'p99': 2.194464778430374, 'mean': 2.020854990760272, 'std': 0.05775542467402861, 'min': 1.9007127430013497, 'max': 2.2463230430003023}"
medium_25_words,grpc,50,"{'p50': 0.07432775149936788, 'p90': 0.07521875300080864, 'p95': 0.0754143574496993, 'p99': 0.07557178883929737, 'mean': 0.06959585631964728, 'std': 0.007192383417112508, 'min': 0.05350378399816691, 'max': 0.07566483199843788}","{'p50': 0.08229876065300072, 'p90': 0.08407326237996969, 'p95': 0.08504820964882931, 'p99': 0.0853730059368847, 'mean': 0.08243207537900293, 'std': 0.001319267369996221, 'min': 0.07982139722151313, 'max': 0.08543716933159673}","{'p50': 0.6474813764998544, 'p90': 0.6891364606002753, 'p95': 0.7002156341004593, 'p99': 0.7114605074383508, 'mean': 0.6224175536398252, 'std': 0.060170852067434916, 'min': 0.5223268899972027, 'max': 0.7173374419980973}"
medium_25_words,rest,50,"{'p50': 0.09382393749910989, 'p90': 0.1043186415983655, 'p95': 0.13939264849814204, 'p99': 0.7306970294099648, 'mean': 0.12055697689997032, 'std': 0.14774388566885893, 'min': 0.07383768500221777, 'max': 1.129177716000413}","{'p50': 0.0873677007002793, 'p90': 0.09025143123305863, 'p95': 0.09184711507871603, 'p99': 0.16558576441798972, 'mean': 0.09043286412330877, 'std': 0.017607052378461625, 'min': 0.08368492106274097, 'max': 0.20849156216115736}","{'p50': 0.6760027649997937, 'p90': 0.7473217108996323, 'p95': 0.766284186149278, 'p99': 1.3550232428703368, 'mean': 0.6875335328398069, 'std': 0.16617286673503098, 'min': 0.5662964199982525, 'max': 1.7234546040017449}"
short_10_words,grpc,50,"{'p50': 0.06450770899937197, 'p90': 0.07527569759804464, 'p95': 0.07598478910058475, 'p99': 0.1177963136502147, 'mean': 0.06596076719979464, 'std': 0.01560550887630954, 'min': 0.05389706899950397, 'max': 0.15719192899996415}","{'p50': 0.10278066117234232, 'p90': 0.10884406080928623, 'p95': 0.11160842988456936, 'p99': 0.12777008037140292, 'mean': 0.1037024140354722, 'std': 0.007202111684451185, 'min': 0.0929058604146365, 'max': 0.14292383259842723}","{'p50': 0.20223541999803274, 'p90': 0.22638203490023442, 'p95': 0.23536170394945657, 'p99': 0.2732729276903773, 'mean': 0.2035350656198716, 'std': 0.023315680104673768, 'min': 0.16930939000303624, 'max': 0.2986816420016112}"
short_10_words,rest,50,"{'p50': 0.09346524600186967, 'p90': 0.10019770370054175, 'p95': 0.11388745330059465, 'p99': 0.6468512717407409, 'mean': 0.11098186502036697, 'std': 0.14955349871113088, 'min': 0.07316366200029734, 'max': 1.1550697040001978}","{'p50': 0.11429595152491583, 'p90': 0.12799478365188816, 'p95': 0.1326267559491203, 'p99': 0.39159952255349345, 'mean': 0.12582942282733628, 'std': 0.0716359424394385, 'min': 0.10052191428643716, 'max': 0.623621878838385}","{'p50': 0.22782077400006528, 'p90': 0.2571244156002649, 'p95': 0.26595805715169263, 'p99': 0.7979252520204297, 'mean': 0.24795649378029339, 'std': 0.1519450163306545, 'min': 0.18387308199817198, 'max': 1.3032424570010335}"
very_long_150_words,grpc,50,"{'p50': 0.09446792049857322, 'p90': 0.09577357110174489, 'p95': 0.09776127804943825, 'p99': 0.0996907563312925, 'mean': 0.09319533847992716, 'std': 0.004595599977992682, 'min': 0.07483340500039048, 'max': 0.09990135000043665}","{'p50': 0.07716907378031923, 'p90': 0.07977155517043355, 'p95': 0.08004658327261023, 'p99': 0.08033154439875441, 'mean': 0.0772871079071669, 'std': 0.0016496479040030445, 'min': 0.07480423610322738, 'max': 0.08043330745916188}","{'p50': 4.317391440499705, 'p90': 4.478133669798263, 'p95': 4.5307891869497325, 'p99': 4.5960765020985495, 'mean': 4.352963566460021, 'std': 0.10677106645457442, 'min': 4.172500914999546, 'max': 4.5971278509969125}"
very_long_150_words,rest,50,"{'p50': 0.11396839850021934, 'p90': 0.1354072691006877, 'p95': 0.13911191870047332, 'p99': 0.24042129926190645, 'mean': 0.12212793896032963, 'std': 0.03171256624703592, 'min': 0.09337337500255671, 'max': 0.3352315100019041}","{'p50': 0.07660482039363203, 'p90': 0.07941841397865186, 'p95': 0.07966202181528127, 'p99': 0.0808608091306493, 'mean': 0.07687265882689917, 'std': 0.0017359759204237356, 'min': 0.07385494271599717, 'max': 0.08164302578701564}","{'p50': 4.304966611000054, 'p90': 4.506650377201732, 'p95': 4.544904733352451, 'p99': 4.5844649424618185, 'mean': 4.318595460000215, 'std': 0.12142577328857374, 'min': 4.09520130799865, 'max': 4.599083086002793}"
