passage_id,title,n_paragraphs,mean_speaker_sim,speaker_sim_std,f0_drift_hz,wpm_drift,paragraph_f0s,paragraph_wpms
0,Technology and Society,5,0.9502,0.0055,5.8,12.4,"[179.5, 192.1, 196.1, 194.3, 189.2]","[138.9, 141.6, 164.1, 126.7, 136.0]"
1,Climate and Environment,6,0.9459,0.0113,4.4,13.9,"[191.4, 184.4, 196.6, 188.9, 185.3, 194.0]","[153.6, 157.9, 155.2, 146.8, 127.6, 122.2]"
2,Medical Advances,5,0.9586,0.0083,6.0,13.4,"[180.5, 184.1, 191.6, 175.4, 190.2]","[161.5, 156.7, 138.0, 126.7, 157.1]"
3,Space Exploration,5,0.9446,0.0091,5.3,18.9,"[192.4, 182.2, 188.7, 185.4, 197.4]","[186.8, 173.6, 141.9, 143.6, 142.2]"
4,Financial Markets,5,0.9503,0.0056,5.7,7.0,"[194.7, 179.8, 180.4, 188.7, 182.1]","[141.7, 159.2, 144.0, 139.0, 144.6]"
