passage_id,title,n_paragraphs,mean_speaker_sim,speaker_sim_std,f0_drift_hz,wpm_drift,paragraph_f0s,paragraph_wpms
0,Technology and Society,5,0.9545,0.0112,5.2,10.6,"[183.1, 179.5, 188.3, 194.3, 182.4]","[144.0, 143.1, 161.5, 130.1, 136.0]"
1,Climate and Environment,6,0.9453,0.0092,6.8,10.8,"[191.4, 173.6, 193.2, 186.2, 183.0, 191.6]","[145.0, 153.9, 147.1, 143.6, 128.0, 123.6]"
2,Medical Advances,5,0.9595,0.0039,4.5,10.6,"[178.6, 181.3, 189.4, 176.1, 182.7]","[152.5, 155.8, 140.2, 129.2, 156.6]"
3,Space Exploration,5,0.9466,0.0054,4.5,17.6,"[193.4, 183.6, 192.9, 182.5, 186.6]","[178.7, 181.0, 146.2, 143.1, 142.6]"
4,Financial Markets,5,0.9442,0.0057,7.1,8.0,"[191.3, 176.2, 172.1, 185.5, 186.6]","[134.3, 158.6, 144.4, 140.3, 145.6]"
