bucket,interface,n_calls,ttfb,rtf,elapsed
short_10_words,grpc,50,"{'p50': 0.06498670554719865, 'p90': 0.07545346426777541, 'p95': 0.07574542926158756, 'p99': 0.10328229575883587, 'mean': 0.06556525448337197, 'std': 0.012570009969138386, 'min': 0.054199716076254845, 'max': 0.1294467099942267}","{'p50': 0.10291751432759405, 'p90': 0.11244345654269049, 'p95': 0.11321920404069909, 'p99': 0.12176988814929683, 'mean': 0.1046908966562238, 'std': 0.0061423608950127336, 'min': 0.09586995250401742, 'max': 0.12605889070597268}","{'p50': 0.20641980646178126, 'p90': 0.23389050611294807, 'p95': 0.23847366648260504, 'p99': 0.2553008776577189, 'mean': 0.2062084671948105, 'std': 0.021114655765657048, 'min': 0.16609776904806495, 'max': 0.2692915187217295}"
short_10_words,rest,50,"{'p50': 0.09473136556334794, 'p90': 0.10157163813710213, 'p95': 0.11429871206637471, 'p99': 0.21992994445376068, 'mean': 0.09706337335519492, 'std': 0.030598841055660467, 'min': 0.07410077471286058, 'max': 0.29604381369426847}","{'p50': 0.11636544361115786, 'p90': 0.12540244305114356, 'p95': 0.14406909152606312, 'p99': 0.1784971195682577, 'mean': 0.11923679414717712, 'std': 0.01515628246675865, 'min': 0.10682243845963058, 'max': 0.2031993082835741}","{'p50': 0.22890348685905337, 'p90': 0.25909274541772903, 'p95': 0.2773176509421319, 'p99': 0.3629731529345733, 'mean': 0.23380496359430253, 'std': 0.03659661412287661, 'min': 0.1882211398333311, 'max': 0.4435181999579072}"
medium_25_words,grpc,50,"{'p50': 0.07484792964532971, 'p90': 0.07559369034133852, 'p95': 0.07565059917978942, 'p99': 0.07580812148284168, 'mean': 0.07011088259518146, 'std': 0.006775691938254938, 'min': 0.05483144614845514, 'max': 0.07581929676234722}","{'p50': 0.08288811970334994, 'p90': 0.0843466509146981, 'p95': 0.08489267335870347, 'p99': 0.08664051790357406, 'mean': 0.08300627080200773, 'std': 0.0012489479869496373, 'min': 0.08026604928650134, 'max': 0.08754844183183176}","{'p50': 0.6556068165227771, 'p90': 0.7002281859517098, 'p95': 0.71129307418596, 'p99': 0.7159315351909027, 'mean': 0.633231640662998, 'std': 0.0586893655678856, 'min': 0.5415205108001828, 'max': 0.7169230291619897}"
medium_25_words,rest,50,"{'p50': 0.09465598920360208, 'p90': 0.10017869537696242, 'p95': 0.1008936951868236, 'p99': 0.10394973816815764, 'mean': 0.09339057828299702, 'std': 0.005406785198572117, 'min': 0.0834373440593481, 'max': 0.10430261911824346}","{'p50': 0.08664685945030554, 'p90': 0.08871971258028381, 'p95': 0.08917708766883484, 'p99': 0.08997368616021999, 'mean': 0.08658981708094761, 'std': 0.0015972459848811104, 'min': 0.08418259205265977, 'max': 0.09038091786645913}","{'p50': 0.6804942355956882, 'p90': 0.7267425690311938, 'p95': 0.7304322379175574, 'p99': 0.7330570753104985, 'mean': 0.6536067760922015, 'std': 0.06132403781998885, 'min': 0.5486873616464436, 'max': 0.7332905950024724}"
long_75_words,grpc,50,"{'p50': 0.0749578143004328, 'p90': 0.07663225224241615, 'p95': 0.08495140103623271, 'p99': 0.08527318304870278, 'mean': 0.0756000915542245, 'std': 0.0035118924951315494, 'min': 0.06478168535977602, 'max': 0.08527598297223449}","{'p50': 0.07922134341469458, 'p90': 0.07987782494472515, 'p95': 0.08006277062014543, 'p99': 0.08018755259911388, 'mean': 0.07914206924877511, 'std': 0.0006263380366515726, 'min': 0.07714360810693258, 'max': 0.08020598112233332}","{'p50': 1.9920583865605295, 'p90': 2.0394864419009537, 'p95': 2.0507884324295445, 'p99': 2.0727122404938565, 'mean': 1.9897039747890084, 'std': 0.039503073827643495, 'min': 1.9182450380176306, 'max': 2.075323280878365}"
long_75_words,rest,50,"{'p50': 0.09481475665234029, 'p90': 0.1350093291141093, 'p95': 0.1442749443696812, 'p99': 0.21627786169759905, 'mean': 0.10767709638923406, 'std': 0.02878239361646688, 'min': 0.0931556629948318, 'max': 0.2746019600890577}","{'p50': 0.07993526553167632, 'p90': 0.08084500406306579, 'p95': 0.08159844162360498, 'p99': 0.08392784726459339, 'mean': 0.07997394338739361, 'std': 0.0011434354178464618, 'min': 0.07801734054876301, 'max': 0.08569568757715947}","{'p50': 2.0098221143707633, 'p90': 2.0591858838219195, 'p95': 2.085196811542846, 'p99': 2.1388437418546524, 'mean': 2.0108359023556113, 'std': 0.04625148671940901, 'min': 1.9282846320420504, 'max': 2.1729161771945655}"
very_long_150_words,grpc,50,"{'p50': 0.09424486616626382, 'p90': 0.09531814497895538, 'p95': 0.09557229210622609, 'p99': 0.09606213399674743, 'mean': 0.09172718509100378, 'std': 0.004865470628736609, 'min': 0.07509711710736156, 'max': 0.09627861296758056}","{'p50': 0.07805436691001708, 'p90': 0.07864626809354174, 'p95': 0.07876109985783013, 'p99': 0.07968240633902218, 'mean': 0.0779980983013104, 'std': 0.000623619344589284, 'min': 0.07669762129564227, 'max': 0.08043685873586572}","{'p50': 4.417054856894538, 'p90': 4.48078763759695, 'p95': 4.501630600914359, 'p99': 4.548624187591486, 'mean': 4.410173527039587, 'std': 0.06160766851016875, 'min': 4.301202324219048, 'max': 4.572307539638132}"
very_long_150_words,rest,50,"{'p50': 0.11417721887119114, 'p90': 0.13354301131330432, 'p95': 0.14049804017413406, 'p99': 0.16267295693513, 'mean': 0.11823663252405822, 'std': 0.011632598310944148, 'min': 0.1034228759817779, 'max': 0.1737477369606495}","{'p50': 0.0790948153420904, 'p90': 0.07949681581238045, 'p95': 0.07978376249049263, 'p99': 0.0801921349330838, 'mean': 0.07902469199112992, 'std': 0.0005026232066421188, 'min': 0.07799955714236215, 'max': 0.08024340191915032}","{'p50': 4.448824067832902, 'p90': 4.550415122043342, 'p95': 4.611159402644262, 'p99': 4.651648315731436, 'mean': 4.460878679323941, 'std': 0.07348242796074883, 'min': 4.300956221297383, 'max': 4.672719577793032}"
extra_long_300_words,rest,50,"{'p50': 0.10592642286792397, 'p90': 0.12773767597973348, 'p95': 0.14152296776883302, 'p99': 0.1566898952564224, 'mean': 0.10927999324165284, 'std': 0.014707644178850902, 'min': 0.09530076337978244, 'max': 0.1662929500453174}","{'p50': 2.2987311065207905, 'p90': 2.767645086416906, 'p95': 3.0624301636612468, 'p99': 3.3936518069372132, 'mean': 2.3698082392529614, 'std': 0.3172165933020781, 'min': 2.068100763358416, 'max': 3.600181261435864}","{'p50': 0.10675286408513784, 'p90': 0.12852918677963318, 'p95': 0.14221897902898487, 'p99': 0.15760088209994133, 'mean': 0.1100536796823144, 'std': 0.014731509820468386, 'min': 0.09604241186752915, 'max': 0.16719209123402834}"
