mode,interface,p50,p90,p95,p99,mean,std,min,max
batch,grpc,0.10379845718853176,0.10835733478888869,0.10925480676814914,0.1492519402923061,0.10586962162517011,0.011877904353478365,0.100182780995965,0.18729796819388866
batch,rest,0.1522943105082959,0.16463391352444887,0.17433256430085747,0.19786922036670146,0.15541803882457317,0.0108248493547275,0.1446377714164555,0.201932730153203
streaming_ttfw,grpc,0.4244377256836742,0.4251297129783779,0.42528811560478064,0.4268046642560512,0.42451188826933506,0.0007107567393385844,0.4232425410300493,0.4279768029227853
streaming_final,grpc,0.14021940296515822,0.14301083534955977,0.1441962530836463,0.14527769411914052,0.14059521379880607,0.0018094131009387092,0.1382814240641892,0.14578735595569015
streaming_total,rest,0.15245455037802458,0.18567823506891729,0.1964569733245298,0.3987425950774922,0.1656765269115567,0.04913510786968681,0.14589144987985492,0.4220277820713818
