id,duration_s,full_wer,chunked_wer,wer_ratio,hallucination_rate,repetition_rate,elapsed_s
longform_0,6.119875,0.07692307692307693,0.07692307692307693,1.0,0.5384615384615384,0.0,0.14221801282837987
longform_1,19.38,0.0,0.0,,0.5476190476190477,0.0,0.09884075168520212
longform_2,5.06,0.06666666666666667,0.06666666666666667,1.0,0.9285714285714286,0.0,0.04948111902922392
longform_3,4.5599375,0.0,0.0,,0.0,0.0,0.03493916802108288
longform_4,21.18,0.13043478260869565,0.13043478260869565,1.0,0.7446808510638298,0.0,0.09084508800879121
longform_5,15.977625,0.11904761904761904,0.11904761904761904,1.0,0.375,0.0,0.08146079676225781
longform_6,5.9790625,0.16666666666666666,0.16666666666666666,1.0,0.7647058823529411,0.0,0.04717493895441294
longform_7,11.1799375,0.0,0.0,,0.34615384615384615,0.0,0.06810505036264658
longform_8,1.059875,0.0,0.0,,0.0,0.0,0.031762680038809776
longform_9,13.52,0.0,0.0,,0.0,0.0,0.06925478996708989
longform_10,5.6994375,0.0,0.0,,0.0,0.0,0.04938402818515897
longform_11,12.5190625,0.06451612903225806,0.06451612903225806,1.0,0.6774193548387096,0.0,0.07136492524296045
longform_12,5.44,0.0,0.0,,0.42857142857142855,0.0,0.04732844606041908
longform_13,8.28,0.038461538461538464,0.038461538461538464,1.0,0.3076923076923077,0.0,0.05528054991737008
longform_14,2.399875,0.0,0.0,,0.7777777777777778,0.0,0.03263499075546861
longform_15,9.94,0.36,0.36,1.0,0.9047619047619048,0.0,0.060412473045289516
longform_16,7.7999375,0.3333333333333333,0.3333333333333333,1.0,0.7586206896551724,0.0,0.05439401185140014
longform_17,2.5795625,0.0,0.0,,0.0,0.0,0.033577864058315754
longform_18,13.11875,0.19047619047619047,0.19047619047619047,1.0,0.6428571428571429,0.0,0.07510921312496066
longform_19,11.66,0.02857142857142857,0.02857142857142857,1.0,0.5428571428571428,0.0,0.0687475330196321
longform_20,8.599875,0.0,0.0,,0.0,0.0,0.05036609433591366
longform_21,5.28,0.1,0.1,1.0,0.8181818181818182,0.0,0.04474654980003834
longform_22,12.2199375,0.11764705882352941,0.11764705882352941,1.0,0.6129032258064516,0.0,0.06920063914731145
longform_23,9.6199375,0.08571428571428572,0.08571428571428572,1.0,0.47058823529411764,0.0,0.06903271516785026
longform_24,6.779,0.0,0.0,,0.4444444444444444,0.0,0.049599019810557365
longform_25,7.6190625,0.0,0.0,,0.4090909090909091,0.0,0.05126584600657225
longform_26,8.4590625,0.09523809523809523,0.09523809523809523,1.0,0.3333333333333333,0.0,0.053761019837111235
longform_27,8.7198125,0.15,0.15,1.0,0.5,0.0,0.05426765792071819
longform_28,4.879125,0.21428571428571427,0.21428571428571427,1.0,0.75,0.0,0.045846347231417894
longform_29,15.3375,0.06451612903225806,0.06451612903225806,1.0,0.375,0.0,0.07989409705623984
longform_30,19.5784375,0.05555555555555555,0.05555555555555555,1.0,0.5094339622641509,0.0,0.09218457993119955
longform_31,11.3799375,0.13333333333333333,0.13333333333333333,1.0,0.5517241379310345,0.0,0.07129965210333467
longform_32,2.0998125,0.0,0.0,,0.0,0.0,0.033080643974244595
longform_33,3.0596875,0.0,0.0,,0.0,0.0,0.03399077383801341
longform_34,5.8400625,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.04876867821440101
longform_35,1.279875,0.0,0.0,,0.0,0.0,0.03069463511928916
longform_36,2.7396875,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.033918220084160566
longform_37,6.0,0.0,0.0,,0.0,0.0,0.04562367033213377
longform_38,4.7400625,0.0625,0.0625,1.0,0.5294117647058824,0.0,0.040243884082883596
longform_39,5.719125,0.0625,0.0625,1.0,0.29411764705882354,0.0,0.04939997708424926
longform_40,10.6799375,0.0,0.0,,0.4583333333333333,0.0,0.065660011023283
longform_41,19.7,0.12,0.12,1.0,0.42857142857142855,0.0,0.08762086974456906
longform_42,1.3999375,0.0,0.0,,0.0,0.0,0.031273216009140015
longform_43,10.219125,0.037037037037037035,0.037037037037037035,1.0,0.25925925925925924,0.0,0.06785340001806617
longform_44,8.039375,0.1,0.1,1.0,0.7142857142857143,0.0,0.053687822073698044
longform_45,9.5789375,0.08,0.08,1.0,0.7307692307692307,0.0,0.05050022481009364
longform_46,12.258125,0.1,0.1,1.0,0.7666666666666667,0.0,0.06349973194301128
longform_47,14.72,0.030303030303030304,0.030303030303030304,1.0,0.5151515151515151,0.0,0.08012565923854709
longform_48,2.08,0.0,0.0,,0.0,0.0,0.032994543202221394
longform_49,3.8,0.1111111111111111,0.1111111111111111,1.0,0.8888888888888888,0.0,0.035545251332223415
concat_0,91.525,0.01593625498007968,,,0.5577689243027888,0.0,
concat_1,72.9600625,0.04736842105263158,,,0.656084656084656,0.0,
concat_2,53.215,0.03680981595092025,,,0.6748466257668712,0.0,
concat_3,58.175,0.04142011834319527,,,0.6488095238095238,0.0,
concat_4,52.39,0.056338028169014086,,,0.6330935251798561,0.0,
concat_5,77.59,0.015384615384615385,,,0.5743589743589743,0.0,
concat_6,42.24,0.027522935779816515,,,0.6238532110091743,0.0,
concat_7,53.845,0.015151515151515152,,,0.5984848484848485,0.0,
concat_8,92.36,0.0034965034965034965,,,0.45454545454545453,0.0,
concat_9,76.265,0.017167381974248927,,,0.4978540772532189,0.0,
