metric,value,n_samples
Punctuation F1 (.),0.4519,500.0
"Punctuation F1 (,)",0.251,500.0
Punctuation F1 (?),0.0173,500.0
Punctuation F1 (!),0.0,500.0
Capitalisation Accuracy,0.9009,
Number Formatting Accuracy,0.9467,
