accent,source,n_utterances,wer,mean_wer,wer_ci_lo,wer_ci_hi,fairness_delta
Vietnamese,L2-Arctic,150,0.2403,0.2486,0.2141,0.2873,0.2311
Spanish,L2-Arctic,150,0.1903,0.1842,0.1485,0.2238,0.2311
Chinese,L2-Arctic,150,0.0941,0.0937,0.0724,0.1174,0.2311
Arabic,L2-Arctic,150,0.0903,0.0879,0.0597,0.1187,0.2311
Irish,VCTK,150,0.0427,0.0304,0.0169,0.0473,0.2311
Korean,L2-Arctic,150,0.0335,0.0337,0.0173,0.0526,0.2311
Hindi,L2-Arctic,150,0.0282,0.0288,0.0179,0.0429,0.2311
English,VCTK,150,0.0276,0.0259,0.0151,0.0391,0.2311
Indian,VCTK,150,0.0194,0.014,0.0075,0.0215,0.2311
NorthernIrish,VCTK,150,0.0145,0.0131,0.0061,0.0206,0.2311
Welsh,VCTK,150,0.0123,0.0198,0.0104,0.0304,0.2311
Scottish,VCTK,150,0.0093,0.0073,0.0034,0.012,0.2311
