bucket,interface,n_calls,ttfb,rtf,elapsed
short_10_words,grpc,50,"{'p50': 0.06503735849400982, 'p90': 0.07561838799738325, 'p95': 0.07575336545123719, 'p99': 0.0897375386152998, 'mean': 0.06415774658089504, 'std': 0.00977235506745168, 'min': 0.05458735302090645, 'max': 0.10293348898994736}","{'p50': 0.09998792369528803, 'p90': 0.10862640249410305, 'p95': 0.1092426290522355, 'p99': 0.11367910587668226, 'mean': 0.10102426963370004, 'std': 0.0051990201350337675, 'min': 0.09088593625650983, 'max': 0.11733103258706022}","{'p50': 0.20786897451034747, 'p90': 0.23635718577716033, 'p95': 0.24474689870112343, 'p99': 0.2718428312623291, 'mean': 0.20715039790142328, 'std': 0.024309804750757176, 'min': 0.16809869499411434, 'max': 0.27856848598457873}"
short_10_words,rest,50,"{'p50': 0.0944110010022996, 'p90': 0.11276935348287224, 'p95': 0.11776840610837097, 'p99': 0.14480736833851549, 'mean': 0.09393668843840715, 'std': 0.014651950027029003, 'min': 0.0740580779965967, 'max': 0.15392388400505297}","{'p50': 0.11315984434103754, 'p90': 0.12418776846794383, 'p95': 0.1296013896082193, 'p99': 0.1414940956950222, 'mean': 0.1142005589877555, 'std': 0.009149066967930098, 'min': 0.10039553547396975, 'max': 0.14742583179740293}","{'p50': 0.23320368400891311, 'p90': 0.26755970600934237, 'p95': 0.27992240393941753, 'p99': 0.30481476791261225, 'mean': 0.23645380865957122, 'std': 0.026197518173610334, 'min': 0.19567815397749655, 'max': 0.32049726200057194}"
medium_25_words,grpc,50,"{'p50': 0.06523016247956548, 'p90': 0.07551256100705359, 'p95': 0.07572621366853127, 'p99': 0.07613989603822119, 'mean': 0.06606455952045508, 'std': 0.008317899864435508, 'min': 0.05480019698734395, 'max': 0.07616471601068042}","{'p50': 0.08077918869747319, 'p90': 0.08248780672540486, 'p95': 0.08344361550207158, 'p99': 0.09196972136930323, 'mean': 0.08110456145966839, 'std': 0.002978650121112864, 'min': 0.07826106784240106, 'max': 0.10003115357397618}","{'p50': 0.6316511305049062, 'p90': 0.67566705448844, 'p95': 0.6828519444548874, 'p99': 0.7583286616401163, 'mean': 0.6090750515204855, 'std': 0.06620786884288185, 'min': 0.4881864439812489, 'max': 0.8175970349984709}"
medium_25_words,rest,50,"{'p50': 0.09439860000566114, 'p90': 0.0991414050135063, 'p95': 0.10034578405320645, 'p99': 0.10611917629459638, 'mean': 0.09354496589978226, 'std': 0.005508219119949591, 'min': 0.07334153400734067, 'max': 0.11135880902293138}","{'p50': 0.08427291393544473, 'p90': 0.08664731161883715, 'p95': 0.08702085399733536, 'p99': 0.08900513683992343, 'mean': 0.084342501226107, 'std': 0.0016422202645313307, 'min': 0.08144187670531869, 'max': 0.08914600560395058}","{'p50': 0.6607391275028931, 'p90': 0.6971436069055926, 'p95': 0.7059194921472226, 'p99': 0.7216779269475956, 'mean': 0.634509983099415, 'std': 0.058724928910487, 'min': 0.5199492729734629, 'max': 0.7250174219952896}"
long_75_words,grpc,50,"{'p50': 0.07490302498626988, 'p90': 0.07543741390982177, 'p95': 0.07569994179066271, 'p99': 0.07595202103344491, 'mean': 0.07397701506153681, 'std': 0.0030262509496334785, 'min': 0.06409449299098924, 'max': 0.07611693200306036}","{'p50': 0.07651715015415589, 'p90': 0.07720324252823163, 'p95': 0.07748757562023013, 'p99': 0.07760654152945774, 'mean': 0.07626172107698015, 'std': 0.0009722729094975869, 'min': 0.07386301940397873, 'max': 0.07766941068955224}","{'p50': 1.8832683829969028, 'p90': 1.9413688895030645, 'p95': 1.9477633890041033, 'p99': 1.9620455413981108, 'mean': 1.8816295920219273, 'std': 0.04553884823061517, 'min': 1.759228112990968, 'max': 1.9654238169896416}"
long_75_words,rest,50,"{'p50': 0.09445531049277633, 'p90': 0.11462183850235305, 'p95': 0.11761290506838122, 'p99': 0.12020209206762957, 'mean': 0.09890366500010714, 'std': 0.008503601323977216, 'min': 0.09268548598629422, 'max': 0.12038023499189876}","{'p50': 0.07709251778186846, 'p90': 0.07828273419991874, 'p95': 0.07850618943776737, 'p99': 0.07933931295533526, 'mean': 0.07698834026381321, 'std': 0.0011010617001488226, 'min': 0.07482263442018097, 'max': 0.07965747801441453}","{'p50': 1.9010176150040934, 'p90': 1.9618013981933473, 'p95': 1.9949663685503765, 'p99': 2.040487097638252, 'mean': 1.906534595460398, 'std': 0.05078168267092763, 'min': 1.8003844320192002, 'max': 2.0411969179986045}"
very_long_150_words,grpc,50,"{'p50': 0.09489610898890533, 'p90': 0.09555751099542249, 'p95': 0.0957531468142406, 'p99': 0.09584441158833215, 'mean': 0.09366624878137372, 'std': 0.003943569220128613, 'min': 0.07523942799889483, 'max': 0.09585730300750583}","{'p50': 0.07415088411221415, 'p90': 0.07581114080794081, 'p95': 0.07601864744334186, 'p99': 0.07621873693803112, 'mean': 0.07442012876911523, 'std': 0.000836989457018368, 'min': 0.07312922277773982, 'max': 0.076237816590146}","{'p50': 4.119541774998652, 'p90': 4.213967708090786, 'p95': 4.249204905310762, 'p99': 4.4051509961189, 'mean': 4.129805497198832, 'std': 0.08220275199973134, 'min': 4.0225761869805865, 'max': 4.412720252003055}"
very_long_150_words,rest,50,"{'p50': 0.11421862099086866, 'p90': 0.1239819509908557, 'p95': 0.12848820394283392, 'p99': 0.13652077074511906, 'mean': 0.11622858579619788, 'std': 0.005906389494967848, 'min': 0.10422329799621366, 'max': 0.1393872820190154}","{'p50': 0.07459423187040312, 'p90': 0.07599275918093376, 'p95': 0.07628334641248417, 'p99': 0.07653493086709032, 'mean': 0.07486040042749345, 'std': 0.0007850667441538596, 'min': 0.07373162122490767, 'max': 0.07653634256203942}","{'p50': 4.154204634498456, 'p90': 4.225331437695422, 'p95': 4.254002748649509, 'p99': 4.2828493506964875, 'mean': 4.148850255596917, 'std': 0.062193058686685766, 'min': 3.995207397994818, 'max': 4.2910953990067355}"
extra_long_300_words,rest,50,"{'p50': 0.1052022429794306, 'p90': 0.10628423491143621, 'p95': 0.11561439489451004, 'p99': 0.11649825808388414, 'mean': 0.102604567995877, 'std': 0.00616756161689562, 'min': 0.09500458798720501, 'max': 0.11654250900028273}","{'p50': 2.2856288291265514, 'p90': 2.3134036682361625, 'p95': 2.508499516104763, 'p99': 2.532043074250879, 'mean': 2.2300951363991715, 'std': 0.13370786932553774, 'min': 2.059947993686251, 'max': 2.5365745492152314}","{'p50': 0.10614439551136456, 'p90': 0.10743425652035513, 'p95': 0.1164944899996044, 'p99': 0.11758785070443992, 'mean': 0.10356541585817468, 'std': 0.006209381323780075, 'min': 0.09566379798343405, 'max': 0.1177982919907663}"
