dataset,n_utterances,wer,cer,mer,wil,ser,wer_ci_lo,wer_ci_hi,verdict
LibriSpeech clean,2620,0.1149,0.1149,0.1147,0.1342,0.363,0.0778,0.0921,FAIL
LibriSpeech other,2939,0.1342,0.1342,0.1337,0.168,0.4985,0.1131,0.1283,FLAG
VoxPopuli EN,1842,0.2847,0.2847,0.2807,0.3151,0.7535,0.2207,0.2458,FAIL
GigaSpeech,19931,0.2414,0.2414,0.2382,0.2923,0.7162,0.2318,0.2395,FAIL
SPGISpeech,39304,0.2108,0.2108,0.2089,0.2321,0.66,0.2003,0.206,FAIL
