mode,interface,p50,p90,p95,p99,mean,std,min,max
batch,grpc,0.10177823550111498,0.10458490079945477,0.10545714125128143,0.1485269235597296,0.10366609639990201,0.012362209509339916,0.09885952900003758,0.1893884919991251
batch,rest,0.14887361400178634,0.1808157458970527,0.18745807530031014,0.26855109904066893,0.15509711502003484,0.029900934659511564,0.13507862000187743,0.3392450179999287
streaming_ttfw,grpc,0.423929042999589,0.4245492063007987,0.42472423955096017,0.42490151253881775,0.42387594891988556,0.0005482659614436334,0.42245610199825023,0.4249934139988909
streaming_final,grpc,0.13987458449992118,0.1415138733016647,0.1425547843982713,0.14443155299140925,0.13978053414008174,0.001647853797538691,0.13650952199895983,0.1454558730001736
streaming_total,rest,0.14695679750002455,0.16073389870143728,0.16682684024926858,0.18559681612867274,0.14883787257989753,0.011392226387926993,0.13483771300161607,0.20118874499894446
