mode,interface,p50,p90,p95,p99,mean,std,min,max
batch,grpc,0.10801735150016611,0.11023915630357806,0.11137132034491515,0.17379769710663798,0.11038965085987001,0.017628217161821506,0.10204912000335753,0.2329551820002962
batch,rest,0.1571488519984996,0.17172859750280625,0.1910255527043773,0.2455437276286828,0.16160581251926487,0.021695662769361412,0.1450253770017298,0.2912371160055045
streaming_ttfw,grpc,0.42670850599824917,0.4275852555932943,0.42812050235588683,0.43010377126774985,0.4267103465809487,0.0010753027460894606,0.42419365199748427,0.43091887500486337
streaming_final,grpc,0.14112475449655904,0.14301903209852754,0.14391243254431174,0.1454144797961635,0.14127357795950957,0.0014583177461234388,0.13832795499183703,0.14612335299898405
streaming_total,rest,0.15792034100013552,0.17054814050352435,0.17464377779906498,0.19089062909988566,0.1591650082799606,0.010447594628837232,0.14471045200480148,0.2023098880017642
