concurrency,n_calls,p50,p90,p95,p99,mean,std,min,max,rtf_mean
1,5,0.10729774699939298,0.10958422619987687,0.10970910759970139,0.10980901271956099,0.1074644777996582,0.0020204140346393317,0.10408880499926454,0.1098339889995259,0.0035773794207609256
5,25,0.14909603200067068,0.16210567399975845,0.16470078119964454,0.16656871435981885,0.15115292251997745,0.008666991991201141,0.13023215500106744,0.16696216099990124,0.005031721788281539
10,50,0.18282733249907324,0.22765513740032475,0.22869207034982536,0.23290179000992792,0.1832805315598307,0.02763146169397286,0.11694094399899768,0.2360034169996652,0.006101216097198093
20,100,0.3284479010007999,0.36215516980009854,0.37718740034915754,0.38690024281981095,0.31792038758996566,0.044688669676394496,0.16878382399954717,0.38971964600023057,0.010583235272635341
