concurrency,n_calls,p50,p90,p95,p99,mean,std,min,max,rtf_mean
1,5,0.115438143722713,0.1159513233229518,0.11595157878473401,0.11595178315415978,0.11473047314211726,0.0013263083737487377,0.11273408588021994,0.11595183424651623,0.0038192567623873924
5,25,0.16534387739375234,0.191416350658983,0.1971281697042286,0.19875595265999435,0.16030436517670751,0.02149773494750158,0.11866991873830557,0.19889881694689393,0.005336363687640064
10,50,0.2055619489401579,0.23798395716585222,0.2668783066328615,0.27376659216359256,0.20927534836344422,0.02694810192974953,0.15533299278467894,0.2769121089950204,0.006966556203843017
20,100,0.4092960045672953,0.44381248196586964,0.4462321397382766,0.4487513376539573,0.388028523796238,0.06004061947318329,0.16626837709918618,0.45361727103590965,0.012917061378037217
