dataset,n_utterances,wer,cer,mer,wil,ser,wer_ci_lo,wer_ci_hi,verdict
LibriSpeech clean,2620,0.1129,0.1129,0.1127,0.1324,0.3637,0.0765,0.0906,FAIL
LibriSpeech other,2939,0.1334,0.1334,0.1329,0.1675,0.4974,0.1121,0.1273,FLAG
VoxPopuli EN,1842,0.285,0.285,0.281,0.3154,0.7552,0.2205,0.2458,FAIL
GigaSpeech,19931,0.2406,0.2406,0.2373,0.2915,0.7162,0.2308,0.2386,FAIL
SPGISpeech,39304,0.2107,0.2107,0.2088,0.232,0.6595,0.2003,0.2059,FAIL
