concurrency,n_calls,p50,p90,p95,p99,mean,std,min,max,rtf_mean
1,5,0.10837436799192801,0.11010239960160106,0.11059074680088088,0.11098142456030473,0.10840370259829797,0.0017058850881899684,0.105700779997278,0.1110790940001607,0.003608645226308188
5,25,0.1561393739975756,0.16739125319581943,0.16746784840070178,0.16878539620141964,0.15102926784136797,0.014272148969073063,0.11508576800406445,0.16920103300071787,0.0050276054541067905
10,50,0.19973798900173279,0.23747850830841344,0.24166847159867755,0.24850122198375174,0.19990581637917784,0.027380125374607784,0.11574129000655375,0.2500148800027091,0.00665465434018568
20,100,0.33507331700093346,0.38053856440092204,0.3929522915910638,0.39708519206338677,0.32752269248099763,0.04700654922265648,0.19349638900894206,0.3973403209965909,0.010902885901497924
